Day,Susceptible,Infected,Recovered
0,761,1,0
1,756.0197695,4.717570492,1.262659984
2,733.3242854,21.55160964,7.124104964
3,643.9505989,85.93183571,32.11756534
4,424.8139763,225.0741013,112.1119224
5,198.9855509,305.0526879,257.9617612
6,90.03221115,261.4935918,410.474197
7,48.87647031,185.174058,527.9494717
8,32.25310237,121.8586033,607.8882943
9,24.64439835,77.72411324,659.6314884
10,20.78568388,48.83568462,692.3786315
11,18.68462497,30.44376687,712.8716082
12,17.4863019,18.89532848,725.6183696
13,16.78240389,11.69790453,733.5196916
14,16.36121709,7.231163266,738.4076196
15,16.10627546,4.465961403,741.4277631
16,15.95085461,2.756657781,743.2924876
17,15.85568507,1.701001818,744.4433131
18,15.79725002,1.049390675,745.1533593
19,15.76130971,0.647313436,745.5913769
